year,pubpriv,hiqual,degree,sex,age,occ1_lab,rwage,ln_wage
2004.0,Private,Higher education,0.0,Male,47.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",33.931422441574924,2.9167474716046704
2008.0,Private,No qualification,0.0,Male,70.0,ELEMENTARY OCCUPATIONS,7.983104294266136,1.5589967084447727
2019.0,Private,GCE A Level or equiv,0.0,Female,44.0,ELEMENTARY OCCUPATIONS,6.5819922605307175,1.545675153153601
2002.0,Private,No qualification,0.0,Female,43.0,ELEMENTARY OCCUPATIONS,5.038126259372143,1.3488989948834638
2009.0,Private,Degree or equivalent,1.0,Female,33.0,PROFESSIONAL OCCUPATIONS,27.314275370088673,2.9994386139259572
2004.0,Private,Degree or equivalent,1.0,Female,33.0,PROFESSIONAL OCCUPATIONS,21.772813381814935,2.5031489352980474
2014.0,Private,Degree or equivalent,1.0,Male,30.0,PROFESSIONAL OCCUPATIONS,27.891035107789428,3.3357662734195146
2017.0,Public,GCSE grades A-C or equiv,0.0,Male,44.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,6.007766644304808,1.9957476685067517
2015.0,Private,GCE A Level or equiv,0.0,Male,61.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,24.331343917895055,3.2124021489023793
2004.0,Public,Other qualifications,0.0,Female,55.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",8.995603052667253,2.3749872277781607
2008.0,Public,Degree or equivalent,1.0,Female,47.0,PROFESSIONAL OCCUPATIONS,18.086367712376575,2.882959815215402
2010.0,Private,No qualification,0.0,Female,71.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6.0155036336282155,2.5022391033991145
2010.0,Public,Higher education,0.0,Male,33.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,5.77328732003458,1.964415422818711
2003.0,Public,GCSE grades A-C or equiv,0.0,Female,45.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,12.362061722247507,2.3481703981061077
2005.0,Private,GCSE grades A-C or equiv,0.0,Female,55.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,13.670404655226323,2.2284375466119912
2009.0,Private,GCE A Level or equiv,0.0,Male,38.0,SKILLED TRADE OCCUPATIONS,6.443529231846714,1.739962231480329
2008.0,Private,Degree or equivalent,1.0,Female,24.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,6.0357203110138755,1.6691147075964756
2005.0,Private,Higher education,0.0,Male,39.0,PROFESSIONAL OCCUPATIONS,36.98941420350111,3.5215677922571182
2020.0,Private,GCSE grades A-C or equiv,0.0,Male,34.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",16.000747109178395,2.5340501693328306
2004.0,Private,GCE A Level or equiv,0.0,Female,19.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",17.06227064723192,2.259670455886488
2004.0,Public,Degree or equivalent,1.0,Female,41.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,15.932563598323757,2.569136249157207
2008.0,Private,GCE A Level or equiv,0.0,Male,40.0,SKILLED TRADE OCCUPATIONS,13.463476899475653,2.2602505364096275
2019.0,Private,Degree or equivalent,1.0,Female,26.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,22.002641342642825,2.9324268573459884
2009.0,Private,GCSE grades A-C or equiv,0.0,Female,25.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,9.304121299991097,2.0352816722867155
2017.0,Private,Degree or equivalent,1.0,Female,36.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,6.6549111854431136,1.674787763150242
2002.0,Private,Other qualifications,0.0,Female,30.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",7.213959065549228,1.5684577218552511
2011.0,Private,GCSE grades A-C or equiv,0.0,Male,16.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,11.127789333030973,1.9443828057762182
2019.0,Public,Higher education,0.0,Female,57.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,18.150536109799294,2.5088086992130725
2017.0,Private,GCE A Level or equiv,0.0,Male,57.0,ELEMENTARY OCCUPATIONS,16.0445361536544,2.5433637828350526
2003.0,Private,Degree or equivalent,1.0,Male,31.0,PROFESSIONAL OCCUPATIONS,13.06622140974222,2.500595956582879
2018.0,Private,Other qualifications,0.0,Male,53.0,ELEMENTARY OCCUPATIONS,20.145502570359078,2.6885967322475555
2009.0,Private,Degree or equivalent,1.0,Female,24.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,12.958412173938086,2.3757534232906248
2009.0,Private,GCE A Level or equiv,0.0,Female,20.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,5.129243264370874,1.4586642986457936
2013.0,Private,Degree or equivalent,1.0,Male,58.0,"PROCESS, PLANT AND MACHINE OPERATIVES",12.114842523036524,2.3941754449136208
2014.0,Private,No qualification,0.0,Male,30.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",-1.7532692315764518,3.044953751160066
2008.0,Private,Higher education,0.0,Female,27.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,8.57147129311181,2.051861666013531
2009.0,Private,GCE A Level or equiv,0.0,Female,21.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",11.639661134579168,1.8112087854158025
2011.0,Private,Degree or equivalent,1.0,Male,48.0,PROFESSIONAL OCCUPATIONS,114.62636724187992,3.8655471233721967
2010.0,Private,No qualification,0.0,Male,53.0,SKILLED TRADE OCCUPATIONS,9.196827811387381,2.2655079284879753
2007.0,Private,GCSE grades A-C or equiv,0.0,Male,24.0,ELEMENTARY OCCUPATIONS,4.907409283778819,1.6958495110177387
2002.0,Private,Degree or equivalent,1.0,Male,48.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",15.495390283045989,3.0757116358522714
2006.0,Private,GCSE grades A-C or equiv,0.0,Male,45.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,13.426499653182185,2.507290678905592
2004.0,Private,GCSE grades A-C or equiv,0.0,Female,16.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,6.2925865367961435,1.6675285374247468
2015.0,Public,No qualification,0.0,Female,64.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",9.587018231802057,3.2218023588799882
2002.0,Private,GCE A Level or equiv,0.0,Male,31.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",21.12358518558441,2.936843822048892
2012.0,Public,GCSE grades A-C or equiv,0.0,Female,61.0,"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",7.3236466281471255,1.896574869952807
2007.0,Private,GCSE grades A-C or equiv,0.0,Male,49.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",22.119880619109892,2.7628172492331378
2002.0,Private,Other qualifications,0.0,Male,47.0,ELEMENTARY OCCUPATIONS,9.857488514381515,1.9240567486188627
2016.0,Private,GCE A Level or equiv,0.0,Female,37.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,9.310101271614965,2.215786205173472
2005.0,Private,Degree or equivalent,1.0,Male,53.0,PROFESSIONAL OCCUPATIONS,44.99472322807334,3.711162034286155
2003.0,Private,GCSE grades A-C or equiv,0.0,Female,70.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,5.343265899346708,2.0056084990129217
2007.0,Private,GCE A Level or equiv,0.0,Male,53.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,8.270066327959174,1.7365947286043233
2002.0,Private,No qualification,0.0,Male,70.0,"PROCESS, PLANT AND MACHINE OPERATIVES",-22.05684066943776,1.233314992585654
2014.0,Private,GCE A Level or equiv,0.0,Female,48.0,SKILLED TRADE OCCUPATIONS,8.25982914422855,2.0703735379953145
2014.0,Private,GCE A Level or equiv,0.0,Male,33.0,PROFESSIONAL OCCUPATIONS,22.90353393254819,3.0222657713891588
2015.0,Public,GCSE grades A-C or equiv,0.0,Male,16.0,ELEMENTARY OCCUPATIONS,8.053764842477538,2.1180693355700573
2011.0,Private,GCSE grades A-C or equiv,0.0,Male,17.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,4.292249724537445,1.31372496274497
2016.0,Private,Degree or equivalent,1.0,Male,32.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,23.28399905330015,2.7696610419826304
2002.0,Public,Degree or equivalent,1.0,Female,55.0,PROFESSIONAL OCCUPATIONS,26.11689897329269,3.228560593507879
2017.0,Private,GCE A Level or equiv,0.0,Female,25.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,5.914534881182975,1.6753345038796756
2010.0,Private,No qualification,0.0,Female,46.0,ELEMENTARY OCCUPATIONS,3.5393960240206104,1.6360191256476837
2011.0,Private,GCE A Level or equiv,0.0,Male,19.0,SKILLED TRADE OCCUPATIONS,3.6242996908823315,1.2958201195390184
2005.0,Private,GCSE grades A-C or equiv,0.0,Male,47.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,13.922881060316184,2.4031521604953676
2006.0,Private,GCSE grades A-C or equiv,0.0,Female,38.0,ELEMENTARY OCCUPATIONS,6.350482159643118,1.962191540219237
2020.0,Public,Degree or equivalent,1.0,Female,29.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,16.955643882655462,2.5529266768309817
2003.0,Private,GCE A Level or equiv,0.0,Male,28.0,"PROCESS, PLANT AND MACHINE OPERATIVES",11.248963429979431,1.9773778043960524
2003.0,Public,Degree or equivalent,1.0,Male,46.0,PROFESSIONAL OCCUPATIONS,20.024706230083716,3.0761402288044617
2020.0,Public,Degree or equivalent,1.0,Female,57.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",21.524882253980916,2.890611297496835
2003.0,Private,Degree or equivalent,1.0,Male,41.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",47.70705708275332,4.191154930273923
2005.0,Public,Higher education,0.0,Female,60.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",24.51802405349232,3.006084638572087
2014.0,Private,No qualification,0.0,Female,51.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,11.89715055808065,2.25700977990099
2002.0,Private,Degree or equivalent,1.0,Male,28.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,21.961566337408563,3.2299735705028656
2002.0,Public,Degree or equivalent,1.0,Female,43.0,PROFESSIONAL OCCUPATIONS,23.271827014525982,2.7521194722099596
2020.0,Private,GCSE grades A-C or equiv,0.0,Male,29.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,9.01607804128008,1.986948168414278
2020.0,Private,GCE A Level or equiv,0.0,Female,51.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,9.420931176970592,2.4402481275390047
2015.0,Private,Degree or equivalent,1.0,Female,47.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,-42.00953693122678,1.5179146285234346
2007.0,Public,Degree or equivalent,1.0,Female,59.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,4.506644858559545,1.7941760483783935
2017.0,Public,Degree or equivalent,1.0,Female,58.0,PROFESSIONAL OCCUPATIONS,15.362407104507314,2.8792616639236384
2019.0,Private,Degree or equivalent,1.0,Female,45.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,30.071569024139283,3.379889016919318
2012.0,Private,GCSE grades A-C or equiv,0.0,Female,47.0,ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,13.071489798889075,2.3864170259746746
2017.0,Private,Higher education,0.0,Female,32.0,ELEMENTARY OCCUPATIONS,8.432467951965053,1.4172373556237412
2017.0,Private,Higher education,0.0,Female,44.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",31.163893526707973,2.7278765838021166
2002.0,Private,GCSE grades A-C or equiv,0.0,Female,27.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,4.258232651761869,1.6093400667576292
2010.0,Private,Degree or equivalent,1.0,Male,27.0,PROFESSIONAL OCCUPATIONS,30.30678388059406,3.405228007868881
2017.0,Public,Degree or equivalent,1.0,Female,27.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,15.746805380785283,2.5384366255541675
2007.0,Private,GCE A Level or equiv,0.0,Female,25.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,12.58588175659523,2.2331580163016005
2015.0,Public,GCSE grades A-C or equiv,0.0,Female,55.0,ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,22.267696417541437,3.3237336384407996
2020.0,Public,Degree or equivalent,1.0,Male,47.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",30.249436095960114,3.0261825729639766
2015.0,Private,Other qualifications,0.0,Male,44.0,SALES AND CUSTOMER SERVICE OCCUPATIONS,17.161082046331913,2.463457324730541
2006.0,Private,GCSE grades A-C or equiv,0.0,Male,31.0,"MANAGERS, DIRECTORS+SENIOR OFFICIALS",16.54108708734928,2.606202439836552
2016.0,Private,GCE A Level or equiv,0.0,Male,46.0,SKILLED TRADE OCCUPATIONS,18.84686996139553,2.454836595281857
